IpAddr;Host;Fqdm;Port;
172.16.1.11;up;fs-6248-vip.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.12;up;fs-6248-2.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.16;up;fs-3048-1.in.fixstream.com;[['21/tcp', 'filtered', 'ftp'], ['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['179/tcp', 'open', 'bgp'], ['513/tcp', 'filtered', 'login'], ['514/tcp', 'filtered', 'shell'], ['8080/tcp', 'open', 'http'], ['8443/tcp', 'open', 'https']];
172.16.1.17;up;fs-2960X-1.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.18;up;fs-2960X-2.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.19;up;;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http']];
172.16.1.20;up;fs-emc-vnx0.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.21;up;fs-emc-vnx1.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.22;up;fs-5672-1.in.fixstream.com;[['21/tcp', 'filtered', 'ftp'], ['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'filtered', 'https'], ['513/tcp', 'filtered', 'login'], ['514/tcp', 'filtered', 'shell']];
172.16.1.23;up;fs-5672-2.in.fixstream.com;[['21/tcp', 'filtered', 'ftp'], ['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['179/tcp', 'open', 'bgp'], ['443/tcp', 'filtered', 'https'], ['513/tcp', 'filtered', 'login'], ['514/tcp', 'filtered', 'shell']];
172.16.1.24;up;fs-5672-vip.in.fixstream.com;[['21/tcp', 'open', 'ftp'], ['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['514/tcp', 'open', 'shell']];
172.16.1.25;up;fs-netapp-nfs.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['111/tcp', 'open', 'rpcbind'], ['443/tcp', 'open', 'https'], ['2049/tcp', 'open', 'nfs'], ['10000/tcp', 'open', 'snet']];
172.16.1.26;up;;[['23/tcp', 'open', 'telnet'], ['79/tcp', 'open', 'finger'], ['80/tcp', 'open', 'http']];
172.16.1.27;up;fs-3500xl-1.in.fixstream.com;[['23/tcp', 'open', 'telnet'], ['79/tcp', 'open', 'finger'], ['80/tcp', 'open', 'http']];
172.16.1.28;up;fs-1812-rtr.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet']];
172.16.1.30;up;fs-f5-lb.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['443/tcp', 'open', 'https'], ['3306/tcp', 'filtered', 'mysql']];
172.16.1.31;up;arista-1.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['179/tcp', 'closed', 'bgp'], ['443/tcp', 'open', 'https'], ['646/tcp', 'closed', 'ldp'], ['5900/tcp', 'closed', 'vnc']];
172.16.1.32;up;arista-2.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['179/tcp', 'closed', 'bgp'], ['443/tcp', 'open', 'https'], ['646/tcp', 'closed', 'ldp'], ['5900/tcp', 'closed', 'vnc']];
172.16.1.36;up;;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http']];
172.16.1.39;up;;[['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http']];
172.16.1.59;up;ucs-emc-blade59-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.69;up;ucs-emc-blade69-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.78;up;;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.79;up;ucs-emc-blade79-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.88;up;;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.89;up;ucs-emc-blade89-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.92;up;;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'filtered', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.98;up;ucs-emc-blade98-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.99;up;ucs-emc-blade99-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.108;up;;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.118;up;;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.119;up;ucs-emc-blade119-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.128;up;;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.129;up;ucs-emc-blade129-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.139;up;ucs-emc-blade139-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.148;up;ucs-emc-blade148-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.149;up;ucs-emc-blade149-a.in.fixstream.com;[['22/tcp', 'closed', 'ssh'], ['80/tcp', 'open', 'http'], ['81/tcp', 'open', 'hosts2'], ['443/tcp', 'open', 'https']];
172.16.1.170;up;idrac-170.in.fixstream.com.1.16.172.in-addr.arpa;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https'], ['5900/tcp', 'open', 'vnc']];
172.16.1.171;up;idrac-171.in.fixstream.com.1.16.172.in-addr.arpa;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https'], ['5900/tcp', 'open', 'vnc']];
172.16.1.172;up;idrac-172.in.fixstream.com.1.16.172.in-addr.arpa;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https'], ['5900/tcp', 'open', 'vnc']];
172.16.1.173;up;idrac-173.in.fixstream.com.1.16.172.in-addr.arpa;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https'], ['5900/tcp', 'open', 'vnc']];
172.16.1.192;up;;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['111/tcp', 'open', 'rpcbind']];
